sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 35977] 12412
[3, 5, 7, 11, 389, 35983] 12400
[3, 5, 7, 11, 389, 35993] 12374
[3, 5, 7, 11, 389, 35999] 12361
[3, 5, 7, 11, 389, 36007] 12344
[3, 5, 7, 11, 389, 36011] 12335
[3, 5, 7, 11, 389, 36013] 12331
[3, 5, 7, 11, 389, 36017] 12318
[3, 5, 7, 11, 389, 36037] 12285
[3, 5, 7, 11, 389, 36061] 12242
[3, 5, 7, 11, 389, 36067] 12227
[3, 5, 7, 11, 389, 36073] 12212
[3, 5, 7, 11, 389, 36083] 12184
[3, 5, 7, 11, 389, 36097] 12152
[3, 5, 7, 11, 389, 36107] 12130
[3, 5, 7, 11, 389, 36109] 12124
[3, 5, 7, 11, 389, 36131] 12090
[3, 5, 7, 11, 389, 36137] 12079
[3, 5, 7, 11, 389, 36151] 12052
[3, 5, 7, 11, 389, 36161] 12031
[3, 5, 7, 11, 389, 36187] 11979
[3, 5, 7, 11, 389, 36191] 11970
